FID_;DESA;KECAMATAN;KABUPATEN;PROPINSI;LUAS;MI_PRINX
;Watugede;Kemusu;Boyolali;Jawa Tengah;3.828.200.000.000.000;19.456.000.000.000.000.000
;Ngrakum;Kemusu;Boyolali;Jawa Tengah;5.124.100.000.000.000;19.457.000.000.000.000.000
;Geneng Sari;Kemusu;Boyolali;Jawa Tengah;5.645.100.000.000.000;19.458.000.000.000.000.000
;Kemusu;Kemusu;Boyolali;Jawa Tengah;11.755.599.999.999.900;19.459.000.000.000.000.000
;Lemahireng;Kemusu;Boyolali;Jawa Tengah;4.120.400.000.000.000;19.460.000.000.000.000.000
;Guwo;Kemusu;Boyolali;Jawa Tengah;8.062.799.999.999.990;19.461.000.000.000.000.000
;Nglaji;Kemusu;Boyolali;Jawa Tengah;18.102.599.999.999.900;19.462.000.000.000.000.000
;Kemiri;Mojosongo;Boyolali;Jawa Tengah;4.344.300.000.000.000;19.303.000.000.000.000.000
;Butuh;Mojosongo;Boyolali;Jawa Tengah;3.033.500.000.000.000;19.304.000.000.000.000.000
;Mojosongo;Mojosongo;Boyolali;Jawa Tengah;3.536.300.000.000.000;19.305.000.000.000.000.000
;Kragilan;Mojosongo;Boyolali;Jawa Tengah;2.940.700.000.000.000;19.306.000.000.000.000.000
;Brajan;Mojosongo;Boyolali;Jawa Tengah;3.082.100.000.000.000;19.307.000.000.000.000.000
;Metuk;Mojosongo;Boyolali;Jawa Tengah;2.022.700.000.000.000;19.308.000.000.000.000.000
;Dlingo;Mojosongo;Boyolali;Jawa Tengah;6.674.100.000.000.000;19.309.000.000.000.000.000
;Kopen;Teras;Boyolali;Jawa Tengah;1.443.200.000.000.000;19.310.000.000.000.000.000
;Doplang;Teras;Boyolali;Jawa Tengah;2.436.700.000.000.000;19.311.000.000.000.000.000
;Kadireso;Teras;Boyolali;Jawa Tengah;1.487.000.000.000.000;19.312.000.000.000.000.000
;Wonoharjo;Kemusu;Boyolali;Jawa Tengah;21.989.999.999.999.900;19.463.000.000.000.000.000
;Ngablak;Wonosegoro;Boyolali;Jawa Tengah;2.272.800.000.000.000;19.464.000.000.000.000.000
;Karangjati;Wonosegoro;Boyolali;Jawa Tengah;3.120.800.000.000.000;19.465.000.000.000.000.000
;Ketoyan;Wonosegoro;Boyolali;Jawa Tengah;5.151.200.000.000.000;19.466.000.000.000.000.000
;Bolo;Wonosegoro;Boyolali;Jawa Tengah;6.711.300.000.000.000;19.467.000.000.000.000.000
;Wonosegoro;Wonosegoro;Boyolali;Jawa Tengah;3.351.100.000.000.000;19.468.000.000.000.000.000
;Banyusri;Wonosegoro;Boyolali;Jawa Tengah;8.129.099.999.999.990;19.469.000.000.000.000.000
;Gosono;Wonosegoro;Boyolali;Jawa Tengah;4.341.800.000.000.000;19.470.000.000.000.000.000
;Bandung;Wonosegoro;Boyolali;Jawa Tengah;2.875.300.000.000.000;19.471.000.000.000.000.000
;Nepen;Teras;Boyolali;Jawa Tengah;0.505900000000000;19.313.000.000.000.000.000
;Sudimoro;Teras;Boyolali;Jawa Tengah;1.429.800.000.000.000;19.314.000.000.000.000.000
;Bangsalan;Teras;Boyolali;Jawa Tengah;1.457.700.000.000.000;19.315.000.000.000.000.000
;Salakan;Teras;Boyolali;Jawa Tengah;3.166.100.000.000.000;19.316.000.000.000.000.000
;Teras;Teras;Boyolali;Jawa Tengah;3.420.300.000.000.000;19.317.000.000.000.000.000
;Randusari;Teras;Boyolali;Jawa Tengah;4.402.100.000.000.000;19.318.000.000.000.000.000
;Mojolegi;Teras;Boyolali;Jawa Tengah;2.025.100.000.000.000;19.319.000.000.000.000.000
;Gumukrejo;Teras;Boyolali;Jawa Tengah;3.375.500.000.000.000;19.320.000.000.000.000.000
;Tawangsari;Teras;Boyolali;Jawa Tengah;2.162.300.000.000.000;19.321.000.000.000.000.000
;Krasak;Teras;Boyolali;Jawa Tengah;3.398.600.000.000.000;19.322.000.000.000.000.000
;Tegalrejo;Sawit;Boyolali;Jawa Tengah;0.504300000000000;19.323.000.000.000.000.000
;Gombang;Sawit;Boyolali;Jawa Tengah;0.959100000000000;19.324.000.000.000.000.000
;Kedungpilang;Wonosegoro;Boyolali;Jawa Tengah;3.637.100.000.000.000;19.472.000.000.000.000.000
;Kalinanas;Wonosegoro;Boyolali;Jawa Tengah;5.246.600.000.000.000;19.473.000.000.000.000.000
;Gilirejo;Wonosegoro;Boyolali;Jawa Tengah;3.753.100.000.000.000;19.474.000.000.000.000.000
;Jatilawang;Wonosegoro;Boyolali;Jawa Tengah;6.527.300.000.000.000;19.475.000.000.000.000.000
;Garangan;Wonosegoro;Boyolali;Jawa Tengah;6.353.000.000.000.000;19.476.000.000.000.000.000
;Bojong;Wonosegoro;Boyolali;Jawa Tengah;7.090.300.000.000.000;19.477.000.000.000.000.000
;Bercak;Wonosegoro;Boyolali;Jawa Tengah;11.283.799.999.999.900;19.478.000.000.000.000.000
;Bengle;Wonosegoro;Boyolali;Jawa Tengah;12.291.300.000.000.000;19.479.000.000.000.000.000
;Kuwiran;Banyudono;Boyolali;Jawa Tengah;0.000000000000000;20.116.000.000.000.000.000
;Batan;Banyudono;Boyolali;Jawa Tengah;0.000000000000000;20.117.000.000.000.000.000
